"Shimmer_4B78	Shimmer_4B78	Shimmer_4B78	Shimmer_4B78	Shimmer_4B78	"
"PPG_A13	PPG_A13	System_Timestamp_Plot_Zeroed	Timestamp	Timestamp	"
"CAL	UNCAL	CAL	UNCAL	CAL	"
"mV	no_units	ms	Ticks	ms	"
"2798.5347985347985	3820.0	13828.125	1819498.0	55526.67236328125	"
"2797.069597069597	3818.0	13835.9375	1819754.0	55534.48486328125	"
"2797.069597069597	3818.0	13843.75	1820010.0	55542.29736328125	"
"2796.336996336996	3817.0	13851.5625	1820266.0	55550.10986328125	"
"2797.8021978021975	3819.0	13859.375	1820522.0	55557.92236328125	"
"2797.8021978021975	3819.0	13867.1875	1820778.0	55565.73486328125	"
"2797.069597069597	3818.0	13875.0	1821034.0	55573.54736328125	"
"2797.069597069597	3818.0	13882.8125	1821290.0	55581.35986328125	"
"2796.336996336996	3817.0	13890.625	1821546.0	55589.17236328125	"
"2797.069597069597	3818.0	13898.4375	1821802.0	55596.98486328125	"
"2797.069597069597	3818.0	13906.25	1822058.0	55604.79736328125	"
"2796.336996336996	3817.0	13914.0625	1822314.0	55612.60986328125	"
"2734.798534798535	3733.0	13921.875	1822570.0	55620.42236328125	"
"2554.5787545787543	3487.0	13929.6875	1822826.0	55628.23486328125	"
"2325.2747252747254	3174.0	13937.5	1823082.0	55636.04736328125	"
"2080.5860805860807	2840.0	13945.3125	1823338.0	55643.85986328125	"
"1838.8278388278388	2510.0	13953.125	1823594.0	55651.67236328125	"
"1608.7912087912089	2196.0	13960.9375	1823850.0	55659.48486328125	"
"1397.8021978021977	1908.0	13968.75	1824106.0	55667.29736328125	"
"1207.3260073260074	1648.0	13976.5625	1824362.0	55675.10986328125	"
"1038.095238095238	1417.0	13984.375	1824618.0	55682.92236328125	"
"892.3076923076924	1218.0	13992.1875	1824874.0	55690.73486328125	"
"769.96336996337	1051.0	14000.0	1825130.0	55698.54736328125	"
"669.5970695970695	914.0	14007.8125	1825386.0	55706.35986328125	"
"593.4065934065934	810.0	14015.625	1825642.0	55714.17236328125	"
"539.9267399267399	737.0	14023.4375	1825898.0	55721.98486328125	"
"505.49450549450546	690.0	14031.25	1826154.0	55729.79736328125	"
"486.4468864468864	664.0	14039.0625	1826410.0	55737.60986328125	"
"481.31868131868134	657.0	14046.875	1826666.0	55745.42236328125	"
"490.1098901098901	669.0	14054.6875	1826922.0	55753.23486328125	"
"508.4249084249084	694.0	14062.5	1827178.0	55761.04736328125	"
"535.5311355311355	731.0	14070.3125	1827434.0	55768.85986328125	"
"570.6959706959707	779.0	14078.125	1827690.0	55776.67236328125	"
